pdname(ID),brand,SSD.cp,HDD.cp,RAM.cp,CPU.brand,CPU.bench,core num,screen size,resolution,DDR,SSD.kind,GPU.brand,GPU.brand,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price
삼성전자 2018 노트북 Pen NT930QAA-K716A,13,1024,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1,16.5,1,39,3,1565000
삼성전자 2018 노트북 Pen NT930QAA-K716A,13,2048,0,16,1,8290,4,13.3,1,1,3,0,1057,0,1,2,0,1,16.5,1,39,3,2159000
GIGABYTE AERO 15X i7 OLED LITE,5,512,0,16,1,13723,6,15.6,4,1,2,2,11398,8,1,3,0,2,20,1,94.24,0,2647000
삼성전자 2019 노트북9 Always NT930XBV-A58A WIN10,13,256,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1,14.9,1,75,3,1128000
삼성전자 2019 노트북9 Always NT930XBV-A58A WIN10,13,512,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1,14.9,1,75,3,1300000
삼성전자 2019 노트북9 Always NT930XBV-A58A WIN10,13,1024,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1,14.9,1,75,3,1340000
삼성전자 2019 노트북9 Always NT930XBV-A58A WIN10,13,2048,0,8,1,7989,4,13.3,1,2,3,0,1057,0,1,2,0,1,14.9,1,75,3,1960000
DELL G3 15 3579 D502KR,4,256,0,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56,3,880000
DELL G3 15 3579 D502KR,4,512,0,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56,3,1070000
DELL G3 15 3579 D502KR,4,256,1024,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56,3,1000000
DELL G3 15 3579 D502KR,4,512,1024,8,1,9496,4,15.6,1,1,3,2,6030,4,1,2,0,2.53,22.7,1,56,3,1210000
MSI GS시리즈 GS65 Stealth 9SG,9,1024,0,32,1,13723,6,15.6,1,1,3,2,12977,8,1,4,0,1.9,17.9,1,82,3,3810000
