brand,SSD.cp,HDD.cp,RAM.cp,CPU.com,CPU.av,core num,screen size,resolution,DDR,SSD.kind,GPU.com,GPU.av,VRAM,HDMI,USB num,num keypad,weight,thickness,multireader,battery,operating system,price,buble
8,256,0,8,1,8942,4,15.6,1,1,2,2,2204,2,1,3,0,1.85,19.9,1,52.0,3,1200000,0.0
8,512,0,8,1,8942,4,15.6,1,1,2,2,2204,2,1,3,0,1.85,19.9,1,52.0,3,1313000,0.0
8,1024,0,8,1,8942,4,15.6,1,1,2,2,2204,2,1,3,0,1.85,19.9,1,52.0,3,1386000,1.0
8,256,0,16,1,8942,4,15.6,1,1,2,2,2204,2,1,3,0,1.85,19.9,1,52.0,3,1298000,0.0
8,256,512,8,1,8942,4,15.6,1,1,2,2,2204,2,1,3,0,1.85,19.9,1,52.0,3,1269000,0.0
8,256,1024,8,1,8942,4,15.6,1,1,2,2,2204,2,1,3,0,1.85,19.9,1,52.0,3,1265000,0.0
4,512,0,16,1,13723,6,15.6,1,1,3,2,11398,8,1,4,0,2.68,23.7,1,60.0,3,2160000,2.0
4,512,0,32,1,13723,6,15.6,1,1,3,2,11398,8,1,4,0,2.68,23.7,1,60.0,3,2530000,2.0
4,1024,0,16,1,13723,6,15.6,1,1,3,2,11398,8,1,4,0,2.68,23.7,1,60.0,3,2489000,1.0
13,256,0,16,1,8942,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,1709000,2.0
13,512,0,16,1,8942,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,1774000,2.0
13,1024,0,16,1,8942,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,1832000,2.0
13,2048,0,16,1,8942,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,2245000,2.0
13,256,0,8,1,8942,4,15.6,1,1,3,2,7841,4,1,2,0,1.85,17.9,1,43.0,2,1524000,1.0
13,512,0,8,1,8942,4,15.6,1,1,3,2,7841,4,1,2,0,1.85,17.9,1,43.0,2,1786000,0.0
10,1024,0,16,1,8953,4,15.0,3,2,2,2,9096,6,0,2,0,1.9,23.0,1,53.1,3,3462000,0.0
10,256,0,16,1,8953,4,15.0,3,2,2,2,9096,6,0,2,0,1.9,23.0,1,53.1,3,2600000,2.0
10,512,0,16,1,9352,4,15.0,3,2,2,2,9096,6,0,2,0,1.9,23.0,1,53.1,3,3000000,0.0
9,128,0,8,1,12454,6,15.6,1,1,2,2,9096,6,1,2,0,2.08,29.0,1,51.0,0,1037000,2.0
12,512,0,16,1,8942,4,14.0,4,2,3,0,1057,0,0,2,0,1.2,12.2,0,53.1,3,2099000,0.0
13,256,0,8,1,7989,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,1403000,2.0
13,512,0,8,1,7989,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,1436000,2.0
13,1024,0,8,1,7989,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,1480000,2.0
13,2048,0,8,1,7989,4,13.3,1,2,3,0,1057,0,0,2,0,1.12,15.9,1,54.0,3,2175000,2.0
